ClassID,ChildID,Gender,ClassAge,m1,m2,m3,m4
138307,1896093,Male,Pre-K 4,7,7,7,7
138305,1896089,Female,Pre-K 4,8,7,7,7
138305,1990786,Male,Pre-K 4,8,8,7,7
137460,2639171,Female,Pre-K 4,7,6,7,6
153655,2632452,Female,Pre-K 4,7,7,7,7
138305,2655034,Female,Pre-K 4,8,8,8,8
138305,1896081,Male,Pre-K 4,8,8,8,8
153655,2560888,Male,Pre-K 4,6,7,7,5
153655,1931471,Female,Pre-K 4,8,8,8,8
138307,2559972,Female,Pre-K 4,7,6,6,5
138307,1896051,Female,Pre-K 4,7,7,7,7
138305,2655208,Male,Pre-K 4,8,8,8,8
138305,2655145,Male,Pre-K 4,8,8,8,7
138305,1970689,Male,Pre-K 4,7,7,7,6
138305,1992116,Male,Pre-K 4,8,8,8,8
138307,2560031,Male,Pre-K 4,7,7,6,5
153655,1932531,Female,Pre-K 4,8,8,8,8
138307,2639876,Male,Pre-K 4,5,5,3,2
138467,2620150,Male,Pre-K 4,5,5,5,3
344034,2858358,Female,Pre-K 4,5,5,5,2
344034,2816353,Female,Pre-K 4,6,3,4,4
138467,2562367,Female,Pre-K 4,5,6,5,4
344034,2928374,Female,Pre-K 4,6,5,6,6
138467,2562266,Female,Pre-K 4,7,7,6,6
138467,2631553,Female,Pre-K 4,7,7,6,5
138307,2559977,Female,Pre-K 4,7,7,7,7
138305,2655062,Female,Pre-K 4,8,8,8,8
344034,2828130,Male,Pre-K 4,5,6,5,5
138305,2655187,Male,Pre-K 4,7,7,7,7
138467,2851271,Male,Pre-K 4,2,2,2,1
138467,2562165,Female,Pre-K 4,8,7,7,6
138305,1935661,Male,Pre-K 4,6,5,5,5
138305,1992091,Female,Pre-K 4,8,7,7,7
344034,2816347,Female,Pre-K 4,6,7,7,7
138467,1883518,Male,Pre-K 4,7,7,7,7
138305,2916288,Male,Pre-K 4,5,4,3,5
153655,2784399,Female,Pre-K 3,4,4,5,4
344034,2655178,Male,Pre-K 3,8,8,8,8
153655,2560792,Female,Pre-K 3,6,6,7,5
138305,2655199,Male,Pre-K 3,7,6,6,6
153655,2560765,Male,Pre-K 3,4,4,4,2
138467,2620136,Male,Pre-K 3,7,6,6,5
153655,2560915,Male,Pre-K 3,5,6,4,4
344034,2858359,Male,Pre-K 3,5,6,5,5
138467,2562321,Male,Pre-K 3,5,5,5,4
138305,2164402,Male,Pre-K 3,7,7,7,6
138305,2065254,Female,Pre-K 3,7,7,6,5
344034,2816344,Female,Pre-K 3,6,4,5,5
344034,2838366,Male,Pre-K 3,5,5,5,4
153655,2632430,Male,Pre-K 3,5,3,4,4
138307,2108411,Male,Pre-K 3,7,6,6,5
153655,2632379,Female,Pre-K 3,6,6,7,5
138305,2655049,Female,Pre-K 3,7,7,7,7
344034,2828129,Male,Pre-K 3,6,6,5,5
138305,2655072,Male,Pre-K 3,4,5,5,4
138467,2562479,Female,Pre-K 3,5,5,5,4
138467,2562340,Male,Pre-K 3,6,6,5,4
153655,2164407,Male,Pre-K 3,6,5,5,5
138467,2562496,Female,Pre-K 3,5,6,4,4
138467,2620757,Female,Pre-K 3,5,6,4,4
138307,2149468,Female,Pre-K 3,7,6,7,5
344034,2816342,Female,Pre-K 3,6,6,6,6
138307,2559965,Female,Pre-K 3,5,6,6,3
138467,2148238,Female,Pre-K 3,6,6,6,4
153655,2164411,Female,Pre-K 3,6,6,6,6
153655,2632400,Female,Pre-K 3,4,5,5,5
138307,2560036,Male,Pre-K 3,5,5,4,4
138467,2627989,Female,Pre-K 3,5,5,5,4
153655,2560863,Female,Pre-K 3,4,3,4,4
153655,2560898,Female,Pre-K 3,6,6,6,3
153655,2632467,Male,Pre-K 3,4,2,2,1
138307,2559996,Male,Pre-K 3,5,5,5,3
138307,2560005,Male,Pre-K 3,5,4,3,1
344034,2828127,Male,Pre-K 3,5,5,5,5
138307,2560013,Male,Pre-K 3,6,7,6,7
153655,2891966,Female,Pre-K 3,2,2,2,2
138467,2562285,Female,Pre-K 3,4,4,4,2
138307,2639166,Male,Pre-K 3,3,4,2,1
138307,2560021,Female,Pre-K 3,5,5,5,4
138307,2890526,Female,Pre-K 3,2,3,2,1
138305,2891155,Male,Pre-K 3,3,3,3,3
138305,2916286,Female,Pre-K 3,5,5,4,3
153655,2560802,Male,Pre-K 3,6,6,6,4
138307,2853258,Male,Pre-K 3,3,4,3,3
344034,2940876,Male,Pre-K 3,3,3,3,3
138467,2654512,Female,Pre-K 3,5,5,4,4
138307,2853248,Female,Pre-K 3,5,4,4,3
344034,2816335,Male,Pre-K 3,5,6,6,5
344034,2816354,Male,Pre-K 3,6,6,6,5
344034,2816355,Female,Pre-K 3,5,6,6,5
344034,2858357,Female,Pre-K 3,3,4,4,3
153655,2863993,Male,Pre-K 3,1,0,2,1
153655,2940346,Male,Pre-K 3,1,1,1,1
138307,2913961,Male,Pre-K 3,3,3,2,1
344034,2858355,Female,Pre-K 3,4,5,4,3
344034,2920888,Male,Pre-K 3,3,3,3,2
138307,2940210,Female,Pre-K 3,3,5,3,1
